# {"t_start": 1594085024.5736594, "env_id": "MountainToyCar-v1"} 
r,l,t
-400.0,400,751.066641
-400.0,400,751.570333
-400.0,400,752.07248
-400.0,400,762.647158
-400.0,400,763.151383
-400.0,400,763.652597
-400.0,400,764.164658
-400.0,400,764.674447
-400.0,400,775.302899
-400.0,400,775.804208
-400.0,400,776.312021
-400.0,400,776.814663
-400.0,400,777.327484
-400.0,400,787.933967
-400.0,400,788.436316
-400.0,400,788.948357
-400.0,400,789.461063
-400.0,400,789.962865
-400.0,400,800.602854
-400.0,400,801.125736
-400.0,400,801.632795
-400.0,400,802.136764
-400.0,400,802.641041
-400.0,400,813.183836
-400.0,400,813.685091
-400.0,400,814.187172
-400.0,400,814.685236
-400.0,400,815.185166
-400.0,400,825.736143
-400.0,400,826.232278
-400.0,400,826.726312
-400.0,400,827.227057
-400.0,400,827.726599
-400.0,400,838.268768
-400.0,400,838.769745
-400.0,400,839.268841
-400.0,400,839.767118
-400.0,400,840.269425
-400.0,400,840.772772
-400.0,400,851.301952
-400.0,400,851.80063
-400.0,400,852.30483
-400.0,400,852.805473
-400.0,400,853.313488
-400.0,400,863.953158
-400.0,400,864.466023
-400.0,400,864.96995
-400.0,400,865.472077
-400.0,400,865.978068
-400.0,400,876.6376
-400.0,400,877.145609
-400.0,400,877.647336
-400.0,400,878.151005
-400.0,400,878.661137
-400.0,400,889.281186
-400.0,400,889.790097
-400.0,400,890.298246
-400.0,400,890.805876
-400.0,400,891.318902
-400.0,400,901.877286
-400.0,400,902.383021
-400.0,400,902.88334
-400.0,400,903.496236
-400.0,400,904.11765
-400.0,400,914.750039
-400.0,400,915.264575
-400.0,400,915.763556
-400.0,400,916.261553
-400.0,400,916.755124
-400.0,400,927.323217
-400.0,400,927.820992
-400.0,400,928.324555
-400.0,400,928.824851
-400.0,400,929.325638
-400.0,400,939.868355
-400.0,400,940.373708
-400.0,400,940.894368
-400.0,400,941.40882
-400.0,400,941.911357
-400.0,400,942.414462
-400.0,400,952.995724
-400.0,400,953.488824
-400.0,400,953.986267
-400.0,400,954.493436
-400.0,400,954.994209
-400.0,400,965.636153
-400.0,400,966.148533
-400.0,400,966.654177
-400.0,400,967.164557
-400.0,400,967.676792
-400.0,400,978.337089
-400.0,400,978.846388
-400.0,400,979.360754
-400.0,400,979.868438
-400.0,400,980.377337
-400.0,400,990.944554
-400.0,400,991.452598
-400.0,400,991.960175
-400.0,400,992.464463
-400.0,400,992.969933
-400.0,400,1003.535242
-400.0,400,1004.042051
-400.0,400,1004.543852
-400.0,400,1005.057129
-400.0,400,1005.555545
-400.0,400,1016.424124
-400.0,400,1016.932388
-400.0,400,1017.456796
-400.0,400,1017.961613
-400.0,400,1018.46555
-400.0,400,1029.311766
-400.0,400,1029.816194
-400.0,400,1030.325725
-400.0,400,1030.839598
-400.0,400,1031.339537
-400.0,400,1042.05044
-400.0,400,1042.555046
-400.0,400,1043.061696
-400.0,400,1043.56904
-400.0,400,1044.080216
-400.0,400,1044.590922
-400.0,400,1055.134885
-400.0,400,1055.637588
-400.0,400,1056.138308
-400.0,400,1056.63967
-400.0,400,1057.14454
-400.0,400,1108.135464
-400.0,400,1108.644385
-400.0,400,1109.14364
-400.0,400,1109.646793
-400.0,400,1110.151657
-400.0,400,1120.744864
-400.0,400,1121.246523
-400.0,400,1121.748881
-400.0,400,1122.249806
-400.0,400,1122.756998
-400.0,400,1133.348438
-400.0,400,1133.856956
-400.0,400,1134.359981
-400.0,400,1134.862098
-400.0,400,1135.364272
-400.0,400,1145.933097
-400.0,400,1146.443007
-400.0,400,1146.952746
-400.0,400,1147.462165
-400.0,400,1147.968725
-400.0,400,1158.546425
-400.0,400,1159.045835
-400.0,400,1159.547235
-400.0,400,1160.049738
-400.0,400,1160.559738
-400.0,400,1171.175388
-400.0,400,1171.680255
-400.0,400,1172.186498
-400.0,400,1172.698243
-400.0,400,1173.20843
-400.0,400,1184.253053
-400.0,400,1184.803154
-400.0,400,1185.261916
-400.0,400,1185.732314
-400.0,400,1186.186341
-400.0,400,1195.851172
-400.0,400,1196.298508
-400.0,400,1196.730536
-400.0,400,1197.163144
-400.0,400,1197.591508
-400.0,400,1198.02088
-400.0,400,1207.086998
-400.0,400,1207.515984
-400.0,400,1207.946482
-400.0,400,1208.378757
-400.0,400,1208.808
-400.0,400,1217.893399
-400.0,400,1218.318995
-400.0,400,1218.745234
-400.0,400,1219.240975
-400.0,400,1219.730091
-400.0,400,1229.359048
-400.0,400,1229.782143
-400.0,400,1230.207685
-400.0,400,1230.636704
-400.0,400,1231.059875
-400.0,400,1240.016636
-400.0,400,1240.441648
-400.0,400,1240.865803
-400.0,400,1241.28867
-400.0,400,1241.710705
-400.0,400,1250.743442
-400.0,400,1251.172462
-400.0,400,1251.59964
-400.0,400,1252.042533
-400.0,400,1252.46954
-400.0,400,1261.510114
-400.0,400,1261.938129
-400.0,400,1262.367667
-400.0,400,1262.79652
-400.0,400,1263.22509
-400.0,400,1272.248511
-400.0,400,1272.668814
-400.0,400,1273.100733
-400.0,400,1273.524178
-400.0,400,1273.945121
-400.0,400,1283.023143
