# {"t_start": 1582159160.5053852, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-7.331767,50,235.645473
-4.036939,50,235.874575
-10.680673,50,236.103505
-9.565786,50,281.827988
-2.577144,50,282.07106
-13.035274,50,282.324039
-9.568912,50,282.569863
-15.872381,50,282.815428
-18.451053,50,283.05284
-9.479606,50,283.285075
-13.406553,50,283.537671
-19.501038,50,283.781653
-15.846271,50,284.048425
-12.109448,50,284.292415
-5.482786,50,284.52634
-6.97515,50,284.763763
-11.909686,50,284.990478
-33.185455,50,285.386984
-12.447911,50,285.897265
-5.293765,50,286.547081
-9.360608,50,287.122704
-6.717582,50,287.625568
-15.387568,50,287.998205
-11.254708,50,288.222319
-17.493967,50,288.451579
-12.936823,50,288.673478
-10.312806,50,288.93937
-14.012962,50,289.262025
-9.766967,50,289.51643
-7.040249,50,289.748266
-5.665004,50,289.979244
-11.144419,50,290.201497
-7.109767,50,290.425642
-11.836031,50,290.660682
-13.181744,50,290.90155
-6.139731,50,291.149296
-17.617619,50,291.387573
-3.106065,50,291.630241
-19.946423,50,291.875132
-4.325148,50,292.11326
-25.647388,50,292.356139
-21.344556,50,292.583304
-12.690828,50,292.821257
-6.93727,50,293.060936
-12.22349,50,341.140312
-1.810371,50,341.374868
-21.019771,50,341.598599
-7.646005,50,341.825679
-8.790005,50,342.059508
-4.907991,50,342.292555
-13.226751,50,342.517821
-15.497974,50,342.744506
-18.295621,50,342.967678
-2.160998,50,343.209229
-15.356785,50,343.46229
-16.267042,50,343.714473
-7.135549,50,343.958565
-2.095634,50,344.208004
-6.447636,50,344.461451
-14.912806,50,344.708729
-12.781767,50,344.952996
-15.216549,50,345.197291
-5.660936,50,345.452694
-9.636388,50,345.702612
-15.804765,50,345.951431
-5.309019,50,346.209504
-26.34553,50,346.469044
-11.433949,50,346.725976
-17.512797,50,346.967075
-2.006708,50,347.21979
-3.447948,50,347.479338
-10.724346,50,347.860083
-21.490056,50,348.403013
-6.139095,50,348.922596
-15.393352,50,349.492207
-5.853527,50,350.105742
-9.023215,50,350.493704
-1.230331,50,350.746454
-9.615634,50,350.985669
-12.695648,50,351.227356
-7.545483,50,351.479053
-16.847872,50,351.722377
-15.298961,50,351.96701
-12.528866,50,352.209512
-16.541061,50,352.451677
-17.88371,50,402.181123
-16.199177,50,402.402954
-2.875082,50,402.643933
-5.186083,50,402.879341
-14.539448,50,403.10636
-18.502776,50,403.328953
-3.441589,50,403.562378
-5.465727,50,403.806643
-6.191355,50,404.081529
-22.982813,50,404.328045
-11.334118,50,404.577387
-4.28326,50,404.834072
-12.534623,50,405.081391
-17.975167,50,405.347914
-22.65473,50,405.58607
-7.689101,50,405.834341
-5.158444,50,406.084517
-6.044459,50,406.330397
-5.725561,50,406.575728
-19.016198,50,406.818771
-1.14588,50,407.065512
-2.771557,50,407.324401
-5.584936,50,407.575066
-19.534957,50,407.822814
-9.471142,50,408.067367
-14.038357,50,408.311927
-4.459391,50,408.56307
-7.192854,50,408.81309
-5.738703,50,409.076006
-21.595266,50,409.325825
-15.350595,50,409.575589
-7.510917,50,409.830379
-10.772362,50,410.078208
-12.023068,50,410.325724
-13.650538,50,410.571156
-9.564909,50,410.828054
-0.670701,50,411.074424
-3.904125,50,411.324067
-7.924486,50,411.567474
-8.496036,50,411.810543
-4.649106,50,412.052862
-16.24479,50,463.222052
-19.323145,50,463.457241
-8.91472,50,463.691606
-12.594825,50,463.931497
-12.621136,50,464.161777
-10.386328,50,464.392773
-23.161725,50,464.65742
-8.413578,50,464.927993
-4.440405,50,465.189273
-13.912104,50,465.451839
-14.393749,50,465.694586
-13.498918,50,465.942542
-7.4874,50,466.195769
-7.464171,50,466.450264
-14.214646,50,466.694973
-9.344407,50,466.940264
-25.496663,50,467.196355
