# {"t_start": 1587110352.6951127, "env_id": "MountainToyCar-v1"} 
r,l,t
-400.0,400,590.502185
-400.0,400,590.975745
-400.0,400,591.454461
-400.0,400,598.385431
-400.0,400,598.853321
-400.0,400,599.315356
-400.0,400,599.773951
-400.0,400,600.234522
-400.0,400,607.092803
-400.0,400,607.607689
-400.0,400,608.079151
-400.0,400,608.542752
-400.0,400,609.00596
-400.0,400,615.896189
-400.0,400,616.376766
-400.0,400,616.85235
-400.0,400,617.327963
-400.0,400,617.803337
-400.0,400,625.244817
-400.0,400,625.717084
-400.0,400,626.212529
-400.0,400,626.714526
-400.0,400,627.172859
-400.0,400,633.965005
-400.0,400,634.459118
-400.0,400,634.919237
-400.0,400,635.378299
-400.0,400,635.850149
-400.0,400,642.887749
-400.0,400,643.352124
-400.0,400,643.816478
-400.0,400,644.279382
-400.0,400,644.762674
-400.0,400,651.652911
-400.0,400,652.265823
-400.0,400,652.855253
-400.0,400,653.387091
-400.0,400,653.909626
-400.0,400,654.45999
-400.0,400,661.597027
-400.0,400,662.072023
-400.0,400,662.546266
-400.0,400,663.021143
-400.0,400,663.495169
-400.0,400,670.645825
-400.0,400,671.104863
-400.0,400,671.564118
-400.0,400,672.14183
-400.0,400,672.693102
-400.0,400,679.63964
-400.0,400,680.141072
-400.0,400,680.60653
-400.0,400,681.123834
-400.0,400,681.589082
-400.0,400,688.3418
-400.0,400,688.801655
-400.0,400,689.260235
-400.0,400,689.720654
-400.0,400,690.197698
-400.0,400,697.17529
-400.0,400,697.71771
-400.0,400,698.256836
-400.0,400,698.780782
-400.0,400,699.317696
-400.0,400,706.509387
-400.0,400,706.998773
-400.0,400,707.511949
-400.0,400,708.027432
-400.0,400,708.516637
-400.0,400,715.646273
-400.0,400,716.113405
-400.0,400,716.589148
-400.0,400,717.066214
-400.0,400,717.565355
-400.0,400,724.434582
-400.0,400,724.898866
-400.0,400,725.366145
-400.0,400,725.833484
-400.0,400,726.293295
-400.0,400,726.756196
-400.0,400,733.516391
-400.0,400,733.989834
-400.0,400,734.460432
-400.0,400,734.928136
-400.0,400,735.398328
-400.0,400,742.226652
-400.0,400,742.690637
-400.0,400,743.152926
-400.0,400,743.664157
-400.0,400,744.232611
-400.0,400,751.597791
-400.0,400,752.061493
-400.0,400,752.520819
-400.0,400,752.98051
-400.0,400,753.47571
-400.0,400,760.761591
-400.0,400,761.319615
-400.0,400,761.888998
-400.0,400,762.455262
-400.0,400,763.054059
-400.0,400,769.898999
-400.0,400,770.43597
-400.0,400,770.980437
-400.0,400,771.47295
-400.0,400,771.930707
-400.0,400,779.256361
-400.0,400,779.775233
-400.0,400,780.319523
-400.0,400,780.832634
-400.0,400,781.34039
-400.0,400,788.273667
-400.0,400,788.759116
-400.0,400,789.229096
-400.0,400,789.77772
-400.0,400,790.256894
-400.0,400,797.184893
-400.0,400,797.64352
-400.0,400,798.102976
-400.0,400,798.566353
-400.0,400,799.026113
-400.0,400,799.503976
-400.0,400,806.263233
-400.0,400,806.721105
-400.0,400,807.180456
-400.0,400,807.638047
-400.0,400,808.095976
-400.0,400,828.423835
-400.0,400,828.888429
-400.0,400,829.348331
-400.0,400,829.839902
-400.0,400,830.30462
-400.0,400,837.29144
-400.0,400,837.771924
-400.0,400,838.231836
-400.0,400,838.701643
-400.0,400,839.170987
-400.0,400,845.857416
-400.0,400,846.323647
-400.0,400,846.822288
-400.0,400,847.285674
-400.0,400,847.815147
-400.0,400,855.189575
-400.0,400,855.65007
-400.0,400,856.125229
-400.0,400,856.587832
-400.0,400,857.055872
-400.0,400,864.187026
-400.0,400,864.776244
-400.0,400,865.32683
-400.0,400,865.920711
-400.0,400,866.476366
-400.0,400,873.765585
-400.0,400,874.224502
-400.0,400,874.681471
-400.0,400,875.138868
-400.0,400,875.595726
-400.0,400,882.333626
-400.0,400,882.807753
-400.0,400,883.283322
-400.0,400,883.757949
-400.0,400,884.232864
-400.0,400,890.910383
-400.0,400,891.371634
-400.0,400,891.837079
-400.0,400,892.295935
-400.0,400,892.75372
-400.0,400,893.212313
-400.0,400,900.579431
-400.0,400,901.140343
-400.0,400,901.597335
-400.0,400,902.054738
-400.0,400,902.511151
-400.0,400,909.805362
-400.0,400,910.295917
-400.0,400,910.778106
-400.0,400,911.272984
-400.0,400,911.736534
-400.0,400,918.761407
-400.0,400,919.237666
-400.0,400,919.708053
-400.0,400,920.17927
-400.0,400,920.649176
-400.0,400,927.365109
-400.0,400,927.828072
-400.0,400,928.4444
-400.0,400,929.014588
-400.0,400,929.511974
-400.0,400,936.66501
-400.0,400,937.122967
-400.0,400,937.580468
-400.0,400,938.037664
-400.0,400,938.494308
-400.0,400,945.674989
-400.0,400,946.144276
-400.0,400,946.61659
-400.0,400,947.089201
-400.0,400,947.582195
-400.0,400,954.563532
-400.0,400,955.087141
-400.0,400,955.571113
-400.0,400,956.045949
-400.0,400,956.545649
-400.0,400,963.445664
-400.0,400,963.946188
-400.0,400,964.438649
-400.0,400,964.895756
-400.0,400,965.354793
-400.0,400,965.815313
-400.0,400,972.687622
-400.0,400,973.165304
-400.0,400,973.626075
-400.0,400,974.167274
-400.0,400,974.851515
-400.0,400,981.913534
-400.0,400,982.407009
-400.0,400,982.890373
-400.0,400,983.379829
-400.0,400,983.919634
-400.0,400,991.263413
-400.0,400,991.779006
-400.0,400,992.330889
-400.0,400,992.8869
